diploma;position;programming_skill;matplotlib;seaborn;plotly;geoplotlib;no_dataviz;scikitlearn;tensorflow;keras;pytorch;fastai;no_machine_learning;linear_regression;decision_trees_or_random_forests;gradient_boosting;dense_neural_networks;convolutional_neural_networks;no_machine_learning_algorithm;main_activity_data_analyze;main_activity_build_run_data_infrastructure;main_activity_build_prototype_for_machine_learning;main_activity_improvement_of_machine_learning_model
Master’s degree;Data Scientist;SQL;;;Plotly / Plotly Express;;;;TensorFlow;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;;;
Doctoral degree;Data Analyst;Python;Matplotlib;;;;;;;;;;;;;;Dense Neural Networks (MLPs, etc);;;Analyze and understand data to influence product or business decisions;;;
Master’s degree;Machine Learning Engineer;MATLAB;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);;;;;;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;;;;Convolutional Neural Networks;;;;;
Master’s degree;Data Scientist;Python;Matplotlib;;Plotly / Plotly Express;;;Scikit-learn;;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Analyst;Python;;;;;;;;;;;;;;;;;;;;;
Doctoral degree;Data Analyst;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;;TensorFlow;;PyTorch;Fast.ai;;;;;;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Data Scientist;R;;;;;;;;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Some college/university study without earning a bachelor’s degree;Data Scientist;Python;Matplotlib;;;;;;TensorFlow;;;;;Linear or Logistic Regression;;;;Convolutional Neural Networks;;;;;
Master’s degree;Machine Learning Engineer;C;;;;;None;;;;;;;;;;;;;;;;
Bachelor’s degree;Data Analyst;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;;;;
Bachelor’s degree;Data Scientist;R;;;;;;;;;;;;;;;;;;Analyze and understand data to influence product or business decisions;;;
Master’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;Convolutional Neural Networks;;;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Professional degree;Data Analyst;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Data Scientist;Python;Matplotlib;;;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Data Analyst;Python;Matplotlib;;;;;;;;;;None;Linear or Logistic Regression;;;;Convolutional Neural Networks;;;;Build prototypes to explore applying machine learning to new areas;
I prefer not to answer;Machine Learning Engineer;Python;Matplotlib;;;;;;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;Convolutional Neural Networks;;;;;
Master’s degree;Machine Learning Engineer;Python;Matplotlib;;;;;;;;PyTorch;;;;;;;Convolutional Neural Networks;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;Experimentation and iteration to improve existing ML models
Master’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;;PyTorch;;;;;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;;;;
Bachelor’s degree;Data Analyst;R;;;Plotly / Plotly Express;;;;;;;;None;;;;;;None;Analyze and understand data to influence product or business decisions;;;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;;TensorFlow;Keras;;;;Linear or Logistic Regression;;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;;;;Convolutional Neural Networks;;;;;
Some college/university study without earning a bachelor’s degree;Data Analyst;Python;Matplotlib;Seaborn;;Geoplotlib;;Scikit-learn;;;PyTorch;;;Linear or Logistic Regression;;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;;;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;;Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Analyst;Python;;;;;;;;;;;;;;;;;;;;;
Master’s degree;Data Scientist;SQL;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;;;;Linear or Logistic Regression;;;;;;Analyze and understand data to influence product or business decisions;;;Experimentation and iteration to improve existing ML models
Doctoral degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;Dense Neural Networks (MLPs, etc);;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Machine Learning Engineer;Python;Matplotlib;;;;;;TensorFlow;Keras;;;;Linear or Logistic Regression;;;;Convolutional Neural Networks;;;;;
Master’s degree;Machine Learning Engineer;Python;Matplotlib;;;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;;;;Dense Neural Networks (MLPs, etc);;;;;;Experimentation and iteration to improve existing ML models
Master’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;;Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;;;;
Master’s degree;Data Scientist;Other;Matplotlib;;;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;
Bachelor’s degree;Data Analyst;Python;Matplotlib;;Plotly / Plotly Express;;;;;;;;;;;;;;;;;;
Bachelor’s degree;Data Analyst;SQL;;;;;;;;;;;;;;;;;;;;;
I prefer not to answer;Data Scientist;Python;Matplotlib;;;;;Scikit-learn;;;;;;Linear or Logistic Regression;;;;;;Analyze and understand data to influence product or business decisions;;;
Master’s degree;Data Analyst;Python;;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;;;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;
I prefer not to answer;Machine Learning Engineer;;;;;;;;;;;;;;;;;;;;;;
Master’s degree;Data Analyst;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;;
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;PyTorch;Fast.ai;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Bachelor’s degree;Data Analyst;Python;Matplotlib;;;;;;;;;;None;Linear or Logistic Regression;;;;;;Analyze and understand data to influence product or business decisions;;;
Some college/university study without earning a bachelor’s degree;Data Scientist;SQL;;;;;;;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Doctoral degree;Data Scientist;R;Matplotlib;;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;;;;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;;;;;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Analyst;Python;;;;;;;;;;;None;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;;;
Master’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;Python;Matplotlib;;;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;;
Bachelor’s degree;Data Analyst;SQL;Matplotlib;Seaborn;;;;;;;;;None;Linear or Logistic Regression;;;;;;Analyze and understand data to influence product or business decisions;;;
Some college/university study without earning a bachelor’s degree;Machine Learning Engineer;Python;Matplotlib;;;;;;;;;;;;;;;;;;;;
Doctoral degree;Data Scientist;Python;;;;;None;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Data Analyst;Javascript;;;;Geoplotlib;;;;;;;None;Linear or Logistic Regression;;;;;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Doctoral degree;Data Scientist;R;;;Plotly / Plotly Express;;;;;;;;None;Linear or Logistic Regression;;;;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;PyTorch;;;;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;Convolutional Neural Networks;;;;;
Master’s degree;Data Scientist;;;;;;;;;;;;;;;;;;;;;;
Bachelor’s degree;Data Scientist;Python;Matplotlib;;;;;;;Keras;PyTorch;Fast.ai;;;;;;Convolutional Neural Networks;;;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;Python;Matplotlib;;;;;Scikit-learn;;;;;;;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;Convolutional Neural Networks;;;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Doctoral degree;Data Scientist;Python;Matplotlib;Seaborn;;;;;;;;;;;;;;;;;;;
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;Geoplotlib;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;;;;
Some college/university study without earning a bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;;;;Linear or Logistic Regression;;;;;;;;;
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;Convolutional Neural Networks;;;;;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;Geoplotlib;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;;;;
Professional degree;Data Analyst;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Professional degree;Data Analyst;SQL;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;
Bachelor’s degree;Data Engineer;C++;;;;;None;;;;;;;;;;;;;;;;
Professional degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;;;;;;;;;;;;;;
Bachelor’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;SQL;Matplotlib;;;;;Scikit-learn;TensorFlow;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;
Bachelor’s degree;Data Analyst;;;;;;;;;;;;;;;;;;;;;;
Bachelor’s degree;Machine Learning Engineer;Python;Matplotlib;;;;;;TensorFlow;Keras;PyTorch;;;;;;Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;;;;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;Convolutional Neural Networks;;;;;
Master’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;PyTorch;;;Linear or Logistic Regression;;;Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;;;Build prototypes to explore applying machine learning to new areas;
Bachelor’s degree;Data Engineer;Python;Matplotlib;;Plotly / Plotly Express;;;;TensorFlow;;PyTorch;;;;;;;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Master’s degree;Data Analyst;Python;;;;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;;;;Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Data Analyst;Python;Matplotlib;;Plotly / Plotly Express;;;;;;;;;;;;;;;;;;
Master’s degree;Data Scientist;Python;;;;;;;;;;;;;;;;;;;;;
Master’s degree;Data Analyst;Python;;;;;None;;;;;;;;;;;;;Analyze and understand data to influence product or business decisions;;;
Master’s degree;Data Analyst;Python;;;;;None;;;;;;;;;;;;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;;;;
Master’s degree;Machine Learning Engineer;Other;Matplotlib;;;Geoplotlib;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;;;;Convolutional Neural Networks;;;;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Data Engineer;R;;;Plotly / Plotly Express;;;;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Master’s degree;Data Scientist;Python;Matplotlib;;;;;Scikit-learn;TensorFlow;;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;;Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Data Analyst;Python;;;;;;;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;;;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Doctoral degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;Convolutional Neural Networks;;;;;
Bachelor’s degree;Data Scientist;SQL;;Seaborn;;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;PyTorch;;;;;;;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;;
Master’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Analyst;Python;Matplotlib;;;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;;;;;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;;;Build prototypes to explore applying machine learning to new areas;
Bachelor’s degree;Data Analyst;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;;
Bachelor’s degree;Data Engineer;;;;;;;;;;;;;;;;;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;;;;;;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;;;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Data Analyst;Python;Matplotlib;Seaborn;;;;;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;Convolutional Neural Networks;;;;;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;;;;
Master’s degree;Data Scientist;SQL;Matplotlib;;;;;Scikit-learn;;;;;;Linear or Logistic Regression;;;;;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;Experimentation and iteration to improve existing ML models
Master’s degree;Machine Learning Engineer;MATLAB;Matplotlib;;;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;Convolutional Neural Networks;;;;Build prototypes to explore applying machine learning to new areas;
