index;age;gender;country;diploma;job;years_writting_code;most_recommended_langage;plateform_used_for_datascience;tpu_used;years_of_use_of_ml;company_size;how_many_ppl_work_on_ml;do_your_company_use_ml;salary;money_spent_in_ml;bigdata_product_used;bi_tool_used;tool_you_use_to_analyse_data
11;22-24;Man;Indonesia;Master’s degree;Data Scientist;3-5 years;SQL;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);More than 25 times;1-2 years;1000-9,999 employees;1-2;We are exploring ML methods (and may one day put a model into production);4,000-4,999;$1000-$9,999;;Tableau;Local development environments (RStudio, JupyterLab, etc.)
12;18-21;Man;India;Bachelor’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;2-3 years;0-49 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);> $500,000;$1000-$9,999;MySQL ;Tableau;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
13;25-29;Man;Indonesia;Doctoral degree;Data Analyst;5-10 years;Python;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);Never;2-3 years;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);$0-999;$1-$99;;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
14;25-29;Woman;Belarus;Master’s degree;Machine Learning Engineer;1-2 years;MATLAB;A personal computer or laptop;Never;Under 1 year;0-49 employees;0;I do not know;1,000-1,999;$0 ($USD);;;
15;25-29;Woman;Tunisia;Master’s degree;Data Scientist;5-10 years;Python;A personal computer or laptop;2-5 times;1-2 years;0-49 employees;1-2;;;;;;
16;30-34;Man;Ukraine;Master’s degree;Data Scientist;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;3-4 years;1000-9,999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);60,000-69,999;$100,000 or more ($USD);;Microsoft Power BI;Local development environments (RStudio, JupyterLab, etc.)
17;30-34;Woman;Belgium;Master’s degree;Data Analyst;1-2 years;Python;;;;;;;;;;;
18;35-39;Man;United States of America;Doctoral degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Once;1-2 years;0-49 employees;3-4;We recently started using ML methods (i.e., models in production for less than 2 years);70,000-79,999;$1-$99;Microsoft SQL Server ;;Local development environments (RStudio, JupyterLab, etc.)
19;25-29;Man;India;Bachelor’s degree;Machine Learning Engineer;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Once;2-3 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);10,000-14,999;$1-$99;;;Local development environments (RStudio, JupyterLab, etc.)
20;18-21;Woman;Indonesia;Bachelor’s degree;Data Scientist;< 1 years;R;A personal computer or laptop;Never;Under 1 year;0-49 employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
21;25-29;Man;China;Some college/university study without earning a bachelor’s degree;Data Scientist;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);$0-999;$1000-$9,999;;;Local development environments (RStudio, JupyterLab, etc.)
22;40-44;Man;United States of America;Master’s degree;Machine Learning Engineer;20+ years;C;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;;;;;;;;;
23;25-29;Man;Other;Bachelor’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;50-249 employees;1-2;No (we do not use ML methods);$0-999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
24;18-21;Man;India;Bachelor’s degree;Data Scientist;< 1 years;R;A personal computer or laptop;Never;I do not use machine learning methods;0-49 employees;0;No (we do not use ML methods);$0-999;$0 ($USD);;Tableau;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
25;22-24;Man;Russia;Master’s degree;Machine Learning Engineer;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Once;1-2 years;0-49 employees;1-2;We have well established ML methods (i.e., models in production for more than 2 years);15,000-19,999;$0 ($USD);;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
26;22-24;Man;Other;Professional degree;Data Analyst;1-2 years;Python;A personal computer or laptop;2-5 times;2-3 years;250-999 employees;3-4;I do not know;$0-999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
27;55-59;Man;Colombia;Master’s degree;Data Scientist;10-20 years;Python;A personal computer or laptop;Never;20 or more years;0-49 employees;3-4;We use ML methods for generating insights (but do not put working models into production);40,000-49,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
28;35-39;Man;Canada;Master’s degree;Data Scientist;10-20 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;5-10 years;1000-9,999 employees;10-14;We have well established ML methods (i.e., models in production for more than 2 years);80,000-89,999;$100,000 or more ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
29;22-24;Man;India;Bachelor’s degree;Data Analyst;3-5 years;Python;A personal computer or laptop;Never;Under 1 year;10,000 or more employees;20+;I do not know;10,000-14,999;$1-$99;MySQL ;;Advanced statistical software (SPSS, SAS, etc.)
30;18-21;Man;India;I prefer not to answer;Machine Learning Engineer;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;10,000 or more employees;20+;I do not know;$0-999;$0 ($USD);;;
31;22-24;Man;Viet Nam;Master’s degree;Machine Learning Engineer;3-5 years;Python;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);Never;1-2 years;50-249 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);15,000-19,999;$100,000 or more ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
32;22-24;Woman;Poland;Master’s degree;Machine Learning Engineer;3-5 years;Python;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);Never;1-2 years;;;;;;;;
33;50-54;Man;United Kingdom of Great Britain and Northern Ireland;Bachelor’s degree;Data Analyst;10-20 years;R;A personal computer or laptop;Never;Under 1 year;1000-9,999 employees;5-9;We are exploring ML methods (and may one day put a model into production);90,000-99,999;$10,000-$99,999;MySQL ;Other;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
34;25-29;Man;Egypt;Bachelor’s degree;Machine Learning Engineer;1-2 years;Python;A personal computer or laptop;Once;1-2 years;0-49 employees;1-2;No (we do not use ML methods);$0-999;$100-$999;Google Cloud Firestore ;SAP Analytics Cloud ;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
35;18-21;Man;India;Bachelor’s degree;Machine Learning Engineer;1-2 years;Python;A personal computer or laptop;Once;Under 1 year;0-49 employees;0;I do not know;$0-999;$1-$99;;;Other
36;18-21;Man;Mexico;Some college/university study without earning a bachelor’s degree;Data Analyst;< 1 years;Python;A personal computer or laptop;Once;Under 1 year;1000-9,999 employees;3-4;I do not know;7,500-9,999;$100-$999;Amazon DynamoDB ;;Local development environments (RStudio, JupyterLab, etc.)
37;25-29;Woman;Egypt;Master’s degree;Data Scientist;5-10 years;Python;A personal computer or laptop;Never;5-10 years;10,000 or more employees;10-14;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;;;;
38;35-39;Woman;Other;Master’s degree;Data Analyst;< 1 years;Python;A personal computer or laptop;Never;;;;;;;;;
39;35-39;Man;United States of America;Master’s degree;Data Scientist;5-10 years;SQL;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;Under 1 year;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);100,000-124,999;$100,000 or more ($USD);MySQL ;Tableau;Local development environments (RStudio, JupyterLab, etc.)
40;45-49;Woman;United States of America;Doctoral degree;Data Scientist;10-20 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;5-10 years;1000-9,999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);250,000-299,999;$10,000-$99,999;;;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
41;55-59;Man;India;Bachelor’s degree;Machine Learning Engineer;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);;;;;
42;40-44;Man;United States of America;Master’s degree;Machine Learning Engineer;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;5-10 years;0-49 employees;0;We are exploring ML methods (and may one day put a model into production);$0-999;$10,000-$99,999;;;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
43;25-29;Man;Netherlands;Master’s degree;Machine Learning Engineer;3-5 years;Python;A personal computer or laptop;2-5 times;1-2 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);$0-999;$100,000 or more ($USD);MongoDB ;;Local development environments (RStudio, JupyterLab, etc.)
44;35-39;Man;Canada;Master’s degree;Data Scientist;5-10 years;Other;A personal computer or laptop;2-5 times;4-5 years;1000-9,999 employees;3-4;We use ML methods for generating insights (but do not put working models into production);80,000-89,999;$10,000-$99,999;Microsoft SQL Server ;;Advanced statistical software (SPSS, SAS, etc.)
45;25-29;Woman;India;Bachelor’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;I do not use machine learning methods;10,000 or more employees;3-4;I do not know;5,000-7,499;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
46;25-29;Woman;Philippines;Bachelor’s degree;Data Analyst;< 1 years;SQL;;;;;;;;;;;
47;18-21;Man;Nigeria;I prefer not to answer;Data Scientist;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;3-4;I do not know;$0-999;$0 ($USD);;;Advanced statistical software (SPSS, SAS, etc.)
48;30-34;Man;Netherlands;Master’s degree;Data Analyst;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);More than 25 times;2-3 years;0-49 employees;3-4;We are exploring ML methods (and may one day put a model into production);4,000-4,999;$10,000-$99,999;MongoDB ;;
49;25-29;Man;Morocco;Master’s degree;Data Scientist;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;3-4 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);;;;;
50;25-29;Woman;Germany;Master’s degree;Data Scientist;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;5-10 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);50,000-59,999;$10,000-$99,999;Microsoft SQL Server ;;Advanced statistical software (SPSS, SAS, etc.)
51;25-29;Woman;Egypt;I prefer not to answer;Machine Learning Engineer;;;;;;;;;;;;;
52;25-29;Woman;Saudi Arabia;Master’s degree;Data Analyst;5-10 years;Python;A personal computer or laptop;Once;2-3 years;250-999 employees;5-9;No (we do not use ML methods);40,000-49,999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
53;18-21;Man;Turkey;Bachelor’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;2-5 times;1-2 years;1000-9,999 employees;5-9;We have well established ML methods (i.e., models in production for more than 2 years);5,000-7,499;$1000-$9,999;;;Local development environments (RStudio, JupyterLab, etc.)
54;22-24;Man;United States of America;Bachelor’s degree;Data Analyst;3-5 years;Python;A personal computer or laptop;Never;Under 1 year;1000-9,999 employees;5-9;No (we do not use ML methods);;;;;
55;40-44;Man;Spain;Some college/university study without earning a bachelor’s degree;Data Scientist;20+ years;SQL;A personal computer or laptop;2-5 times;5-10 years;1000-9,999 employees;10-14;We have well established ML methods (i.e., models in production for more than 2 years);100,000-124,999;$100,000 or more ($USD);Oracle Database ;TIBCO Spotfire;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
56;22-24;Woman;Spain;Doctoral degree;Data Scientist;1-2 years;R;A personal computer or laptop;Once;Under 1 year;0-49 employees;0;I do not know;;;;;
57;25-29;Man;Iran, Islamic Republic of...;Master’s degree;Data Scientist;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;2-3 years;0-49 employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);2,000-2,999;$1000-$9,999;MongoDB ;;Local development environments (RStudio, JupyterLab, etc.)
58;30-34;Man;United States of America;Master’s degree;Data Analyst;3-5 years;Python;A personal computer or laptop;Never;2-3 years;250-999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);80,000-89,999;$100,000 or more ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
59;30-34;Woman;India;Bachelor’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Once;4-5 years;50-249 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);20,000-24,999;$100-$999;;;Local development environments (RStudio, JupyterLab, etc.)
60;35-39;Man;United States of America;Master’s degree;Machine Learning Engineer;20+ years;Python;A personal computer or laptop;Never;5-10 years;50-249 employees;1-2;We have well established ML methods (i.e., models in production for more than 2 years);150,000-199,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
61;30-34;Woman;Spain;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;2-5 times;1-2 years;250-999 employees;0;No (we do not use ML methods);40,000-49,999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
62;40-44;Woman;United States of America;Bachelor’s degree;Data Analyst;< 1 years;SQL;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;No (we do not use ML methods);30,000-39,999;$0 ($USD);;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
63;18-21;Man;India;Some college/university study without earning a bachelor’s degree;Machine Learning Engineer;5-10 years;Python;A personal computer or laptop;Never;2-3 years;;;;;;;;
64;40-44;Man;Other;Doctoral degree;Data Scientist;20+ years;Python;A personal computer or laptop;Never;20 or more years;0-49 employees;1-2;We have well established ML methods (i.e., models in production for more than 2 years);100,000-124,999;$10,000-$99,999;Amazon Redshift ;;Other
65;22-24;Man;United States of America;Master’s degree;Data Analyst;3-5 years;Javascript;A personal computer or laptop;2-5 times;Under 1 year;0-49 employees;0;No (we do not use ML methods);30,000-39,999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
66;30-34;Woman;Germany;Doctoral degree;Data Scientist;5-10 years;R;A personal computer or laptop;Never;5-10 years;0-49 employees;1-2;We use ML methods for generating insights (but do not put working models into production);50,000-59,999;$0 ($USD);;;Advanced statistical software (SPSS, SAS, etc.)
67;22-24;Woman;Romania;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;1-2 years;1000-9,999 employees;3-4;We have well established ML methods (i.e., models in production for more than 2 years);15,000-19,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
68;30-34;Woman;India;Master’s degree;Data Scientist;;;;;;;;;;;;;
69;30-34;Man;Russia;Bachelor’s degree;Data Scientist;1-2 years;Python;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);2-5 times;1-2 years;10,000 or more employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);25,000-29,999;$1000-$9,999;;;Local development environments (RStudio, JupyterLab, etc.)
70;40-44;Man;India;Master’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;3-4 years;0-49 employees;1-2;We use ML methods for generating insights (but do not put working models into production);10,000-14,999;$1000-$9,999;;;Local development environments (RStudio, JupyterLab, etc.)
71;35-39;Man;India;Master’s degree;Data Scientist;5-10 years;Python;A personal computer or laptop;2-5 times;5-10 years;0-49 employees;5-9;We have well established ML methods (i.e., models in production for more than 2 years);4,000-4,999;$100-$999;;Microsoft Power BI;Local development environments (RStudio, JupyterLab, etc.)
72;50-54;Man;United States of America;Doctoral degree;Data Scientist;20+ years;Python;Other;Never;3-4 years;;;;;;;;
73;30-34;Woman;India;Bachelor’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;1-2 years;50-249 employees;;;;;;;
74;22-24;Man;Nigeria;Some college/university study without earning a bachelor’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Once;2-3 years;0-49 employees;0;;;;;;
75;22-24;Woman;Indonesia;Bachelor’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;3-4;We recently started using ML methods (i.e., models in production for less than 2 years);;;;;
76;25-29;Woman;United Kingdom of Great Britain and Northern Ireland;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Once;1-2 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);60,000-69,999;$100,000 or more ($USD);Google Cloud BigQuery ;;Local development environments (RStudio, JupyterLab, etc.)
77;22-24;Woman;India;Master’s degree;Data Scientist;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);$0-999;$100-$999;;Tableau;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
78;25-29;Man;Colombia;Professional degree;Data Analyst;5-10 years;Python;A personal computer or laptop;Never;Under 1 year;1000-9,999 employees;5-9;We are exploring ML methods (and may one day put a model into production);10,000-14,999;$0 ($USD);;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
79;35-39;Man;Republic of Korea;Professional degree;Data Analyst;5-10 years;SQL;A personal computer or laptop;Never;4-5 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);50,000-59,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
80;22-24;Man;India;Bachelor’s degree;Data Engineer;10-20 years;C++;A personal computer or laptop;Never;I do not use machine learning methods;1000-9,999 employees;10-14;No (we do not use ML methods);10,000-14,999;$100-$999;PostgresSQL ;;Other
81;25-29;Woman;Saudi Arabia;Professional degree;Data Scientist;1-2 years;Python;A personal computer or laptop;6-25 times;Under 1 year;;;;;;;;
82;18-21;Man;India;Bachelor’s degree;Machine Learning Engineer;3-5 years;Python;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);6-25 times;Under 1 year;0-49 employees;5-9;We are exploring ML methods (and may one day put a model into production);$0-999;$1-$99;PostgresSQL ;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
83;30-34;Man;United States of America;Master’s degree;Data Scientist;5-10 years;SQL;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;2-3 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);200,000-249,999;$100,000 or more ($USD);Google Cloud BigQuery ;Google Data Studio;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
84;22-24;Man;United States of America;Bachelor’s degree;Data Analyst;;;;;;;;;;;;;
85;18-21;Man;India;Bachelor’s degree;Machine Learning Engineer;1-2 years;Python;A personal computer or laptop;Once;Under 1 year;0-49 employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;$0 ($USD);;;Other
86;25-29;Man;India;Master’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;4-5 years;1000-9,999 employees;5-9;We have well established ML methods (i.e., models in production for more than 2 years);$0-999;$1000-$9,999;Google Cloud BigQuery ;;Local development environments (RStudio, JupyterLab, etc.)
87;18-21;Man;India;Bachelor’s degree;Machine Learning Engineer;3-5 years;Python;A personal computer or laptop;Never;1-2 years;10,000 or more employees;20+;We are exploring ML methods (and may one day put a model into production);$0-999;$0 ($USD);;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
88;22-24;Man;Italy;Master’s degree;Machine Learning Engineer;5-10 years;Python;A personal computer or laptop;Never;1-2 years;50-249 employees;3-4;We have well established ML methods (i.e., models in production for more than 2 years);5,000-7,499;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
89;25-29;Man;India;Bachelor’s degree;Data Engineer;3-5 years;Python;A personal computer or laptop;Never;Under 1 year;10,000 or more employees;20+;We are exploring ML methods (and may one day put a model into production);20,000-24,999;$1-$99;PostgresSQL ;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
90;22-24;Man;Russia;Master’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;1-2 years;1000-9,999 employees;3-4;We recently started using ML methods (i.e., models in production for less than 2 years);10,000-14,999;$1-$99;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
91;22-24;Man;India;Bachelor’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;;;;;;;;
92;25-29;Man;India;Master’s degree;Data Scientist;1-2 years;Python;;;;;;;;;;;
93;30-34;Man;Mexico;Master’s degree;Data Analyst;< 1 years;Python;A personal computer or laptop;Never;I do not use machine learning methods;1000-9,999 employees;1-2;We are exploring ML methods (and may one day put a model into production);25,000-29,999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
94;25-29;Man;Ireland;Master’s degree;Data Analyst;< 1 years;Python;A personal computer or laptop;Never;I do not use machine learning methods;1000-9,999 employees;0;We are exploring ML methods (and may one day put a model into production);50,000-59,999;$1-$99;;TIBCO Spotfire;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
95;18-21;Man;India;Bachelor’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;;;;;;;
96;45-49;Man;Iran, Islamic Republic of...;Master’s degree;Machine Learning Engineer;20+ years;Other;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);Never;5-10 years;250-999 employees;3-4;We use ML methods for generating insights (but do not put working models into production);20,000-24,999;$10,000-$99,999;Google Cloud BigQuery ;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
97;35-39;Man;Spain;Master’s degree;Data Engineer;5-10 years;R;A personal computer or laptop;Never;1-2 years;50-249 employees;3-4;We recently started using ML methods (i.e., models in production for less than 2 years);20,000-24,999;$10,000-$99,999;Microsoft SQL Server ;;Local development environments (RStudio, JupyterLab, etc.)
98;30-34;Man;Sweden;Master’s degree;Data Scientist;5-10 years;Python;A personal computer or laptop;Never;5-10 years;1000-9,999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);50,000-59,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
99;35-39;Woman;Poland;Master’s degree;Data Analyst;3-5 years;Python;A personal computer or laptop;Never;5-10 years;250-999 employees;3-4;We have well established ML methods (i.e., models in production for more than 2 years);40,000-49,999;$100-$999;Microsoft SQL Server ;;Local development environments (RStudio, JupyterLab, etc.)
100;55-59;Man;Netherlands;Master’s degree;Data Scientist;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;4-5 years;1000-9,999 employees;10-14;We have well established ML methods (i.e., models in production for more than 2 years);70,000-79,999;$100-$999;Amazon Redshift ;;Local development environments (RStudio, JupyterLab, etc.)
101;55-59;Man;France;Doctoral degree;Data Scientist;20+ years;Python;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);2-5 times;20 or more years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);300,000-500,000;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
102;18-21;Man;India;Bachelor’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;6-25 times;1-2 years;250-999 employees;3-4;I do not know;$0-999;$1-$99;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
103;25-29;Man;United States of America;Bachelor’s degree;Data Scientist;10-20 years;SQL;A personal computer or laptop;Never;3-4 years;1000-9,999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);100,000-124,999;$1-$99;;;Local development environments (RStudio, JupyterLab, etc.)
104;35-39;Man;Japan;Master’s degree;Data Scientist;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;5-10 years;50-249 employees;10-14;We are exploring ML methods (and may one day put a model into production);5,000-7,499;$0 ($USD);;;
105;35-39;Man;India;Master’s degree;Machine Learning Engineer;1-2 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;0;I do not know;$0-999;$1000-$9,999;;Tableau;Other
106;22-24;Man;United Kingdom of Great Britain and Northern Ireland;Master’s degree;Data Analyst;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;10,000 or more employees;15-19;We are exploring ML methods (and may one day put a model into production);40,000-49,999;$1000-$9,999;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
107;22-24;Man;India;Bachelor’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Once;Under 1 year;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);> $500,000;$10,000-$99,999;Oracle Database ;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
108;25-29;Man;India;Bachelor’s degree;Data Analyst;3-5 years;Python;A personal computer or laptop;2-5 times;Under 1 year;250-999 employees;1-2;We are exploring ML methods (and may one day put a model into production);20,000-24,999;$10,000-$99,999;Oracle Database ;;Local development environments (RStudio, JupyterLab, etc.)
